Producto,Diametro_mm
1,49.95
2,50.02
3,50.08
4,49.89
5,50.11
6,50.05
7,50.26
8,49.97
9,49.83
10,50.01
11,49.91
12,50.07
13,50.03
14,49.77
15,50.14
16,50.00
17,49.98
18,49.93
19,50.09
20,50.04
21,50.12
22,49.85
23,50.18
24,49.90
25,49.96
26,50.02
27,49.82
28,50.06
29,50.31
30,50.11
31,49.99
32,49.88
33,50.05
34,49.94
35,50.10
36,49.81
37,49.97
38,50.07
39,50.15
40,50.04
41,49.92
42,50.01
43,49.87
44,50.09
45,49.75
46,49.98
47,50.03
48,49.95
49,50.08
50,50.17
51,49.91
52,50.02
53,50.13
54,49.84
55,50.05
56,49.93
57,50.24
58,50.00
59,49.97
60,50.12
61,49.89
62,49.95
63,50.07
64,50.04
65,49.78
66,50.01
67,49.92
68,50.11
69,50.03
70,49.96
71,50.06
72,50.14
73,49.87
74,49.99
75,50.02
76,50.19
77,49.94
78,50.08
79,49.90
80,50.05
81,50.22
82,49.98
83,50.01
84,49.86
85,50.09
86,49.93
87,50.04
88,49.97
89,50.13
90,49.81
91,50.06
92,49.95
93,50.02
94,50.16
95,49.88
96,49.73
97,50.10
98,49.99
99,50.03
100,50.07
