ID Estudiante,Materia,Calificación
34,Geografía,7.91
25,Geografía,3.81
35,Historia,6.62
48,Historia,7.28
48,Ciencias,5.78
17,Español,5.69
8,Geografía,8.72
30,Matemáticas,4.88
3,Historia,7.46
20,Geografía,7.79
6,Geografía,4.59
16,Matemáticas,5.44
46,Ciencias,0.05
41,Arte,6.39
48,Ciencias,6.14
35,Geografía,2.85
40,Matemáticas,9.7
16,Historia,2.72
9,Ciencias,4.99
6,Matemáticas,4.74
23,Historia,1.5
26,Arte,7.05
20,Español,1.58
35,Arte,0.89
18,Matemáticas,1.89
50,Arte,7.15
10,Arte,1.96
23,Arte,8.25
30,Historia,0.13
3,Geografía,5.26
32,Historia,9.18
2,Matemáticas,7.14
19,Historia,6.26
25,Geografía,4.21
23,Geografía,5.11
35,Ciencias,4.68
33,Matemáticas,1.22
50,Arte,1.14
7,Geografía,1.6
49,Arte,6.19
5,Español,5.14
20,Matemáticas,1.86
3,Español,5.63
37,Arte,8.94
27,Ciencias,1.42
7,Historia,7.5
44,Matemáticas,5.37
4,Arte,5.17
2,Matemáticas,4.27
20,Ciencias,2.3
